1,labels
when she woke up the next morning she decided to figure out what the hell had happened,"[2, 5]"
ive never seen my mom drunk before never since,"[2, 4, 5]"
we hit off immediately and became friends,[3]
my dad was a trucker for most of my life,[6]
grant you i still dont have total use of my shoulder and i have to use my left arm for certain things but it was wonderful to drive again,[3]
this made matters worse,"[0, 2, 4]"
it was friggin delicious,[3]
he changed our last name eversoslightly and was never caught,[5]
such a soft mouth such sweet breath tickeling the fuzz on my skin,[3]
probably going to get buried spooky as hell and very real,"[2, 5]"
i was writing away,[3]
despite that the city is called  sin city  the city of las vegas catches my eye the fact that my favorite movie is set in the city could be a main reason why,[3]
the highway patrol man did not know what her trip was,"[2, 5]"
my knees are the only weight left keeping me up to abroad,"[2, 4]"
it also hurts to turn my neck in any direction,"[2, 4]"
my nose is so stuffed up right now,"[2, 4]"
just going for a walk once i saw a car turn down a road that was a dead end,[5]
well one time he actually fell asleep foot still on gas pedal and i was actually steering the truck for a few good miles,"[2, 5]"
as i put my foot on the floortiles and started moving towards my computer in the darkness of the room a dark small rodent figure ran from under the computer to the other corner of the roomhiding behind some drawersat this point everybody were awake and i had my boost of adrenalinelike the ancient cavemen heading for a hunt,"[2, 5]"
7 went to dinner with a woman in an open relationship,"[2, 3]"
i see that my 13 year old sons bedroom is ajar,"[2, 5]"
an hour after i got here my eyes swelled up and are so itchy my athsma is ridiculous  in vic i do nt even take medications,"[2, 4]"
it really superly dried my face out,[2]
these dogs jump on me and scratch my legs and when i get out of the car they try to jump inside,"[0, 2]"
 i need to get this list of shit thats happened off my chest,"[0, 2, 4]"
he was about 5 blockage away from the widow maker and also suffered a minor stroke,"[2, 4, 5]"
my ex was a pathological liar  he lied about everything,"[0, 4]"
driving around neighborhoods in the middle of the night on very little sleep everything gets to be a bit surreal,"[2, 5]"
i was turning roasting vegetables that were too close to the hot ring at the oven top and fried my knuckle in the process,"[0, 2]"
i could not wipe the smile off my face,[3]
i stuck out my legs to try and land the fall but one let got stuck on the side of the bike and the other got flipped underneath me and i landed on my right knee then skidded for about 8 feet,"[0, 2, 4, 5]"
we stayed in a really lovely hoteli had two sinks in my bathrooms and white dressing gowns and clippers any hotel which provides dressing gowns is a good hotel in my eyes,[3]
i chuckled holding my hands up and sat down in my comfy swivel chair,[3]
his grandparents used to live and farm there until they retired but the land stayed in the family,[3]
i wake from my coma sleep crusting my eyes,[2]
as i started running i heard him say again im going to get you,"[2, 5]"
i remember bringing it to my kindergarten class once to watch on a movie day,[3]
im still feeling woozy its hard to type because my muscles are not cooperating with me,[2]
my heart shattered into a million little pieces,[4]
he said it was rather delicious and tried to spoon feed me,[3]
i have to admit that when i started reading terris raves for the electrolyte supplement called endurolytes on her middle of the pack girl blog i sorta rolled my eyes,[0]
my heart arrested twice i was shocked four times,"[2, 5]"
my shoulder ached but moved all right and i felt a tightness on my neck,[2]
we are earths last hope against extinction,"[2, 4, 5]"
and found myself giggling that every day at the same time 315 jesus would sign into the guest register,"[3, 5]"
sorry for spelling and stuff,[6]
you might actually say theyre almost angelic,"[3, 5]"
maybe i need to take a full day of rest and not do anything exerciserelated for one day to help my legs feel better,"[2, 4]"
my palms are sweating,[2]
id never known a feeling so painful,"[2, 4]"
my head looked up automatically and the first person out of the others out there i saw him,"[2, 5]"
my teeth were marred by braces and i hated the sight of them,[4]
still starved for human interaction i say okay,"[2, 4]"
my venomous snake story is less awesome but the end result is the same,[2]
the monster was right in front of me and gripped my arms tightly giving me no chance to escape,[2]
i honestly didnt know how to handle this,"[2, 4]"
luckily fellow first grade students were awesome and they either felt sorry for me or completely forgot about it the next day,"[3, 4]"
 out of my mouth came  i didnt see creepy  first of all my brain did not process that i was trying to even say anything,"[2, 5]"
 im fine  amanda said forcefully shrugging off her hand,[0]
i just didnt see the reason to sit there with a cookie on my nose,[6]
below my feet the tinny depths of aquablue whispered hints of bottomlessness come back come back i felt almost drunk staggering back across the ungiving concrete to rejoin my children on the other shallower side of the swimming pool,[2]
and all of the other daily dramas that are taking up the forefront of my mind  jobs and friends and family and bills and snow and more about the jobs  all of these things are nothing to my heart which just keeps on beating keeps on doing its job,[6]
i ate a pizza,[3]
my heart feels like there is nothing left,[4]
my ex is always accidentally offensive like that,"[0, 4]"
then again but harder,[6]
maybe it was fatigue maybe i was just being dramatic but i raised my hand and touched the tender flesh of my cheek,"[2, 4]"
the grass is a beautiful green,[3]
i could not believe my eyes,[5]
after the deception but before the divorce,"[0, 2, 4]"
you know the ones,[5]
so i literally slept with michel thomas  heavily polishgerman accented french ringing in my ears4,[6]
however there is someone else whos trying to win my heart,"[2, 3]"
next night door was shut dammit so i knock on the door,"[0, 2]"
you can move it,[6]
 best friends ever since,[3]
but i ordered for chicken katsu too so in the end my stomach was terribly full,[6]
happy birthday to you and me,[3]
colorado middle of nowhere,"[2, 5]"
as he approached the edge of it he took to prep hops,"[2, 5]"
we broke up twice,"[0, 2, 4]"
the black panther is here,"[2, 5]"
it was a sad strange experience,"[2, 4, 5]"
i held him for a bit when he woke up in recovery and he fell right back asleep in my arms,[3]
what a relief it was and my heart was beating so fast,"[2, 3]"
no one else in the class did,"[4, 5]"
i kind of bawled my eyes out at the end i warn you it is highly depressing,[4]
 she awoke from this odd dream and told her mum to wake up her sister,"[2, 5]"
in one dream i was pulling those long white stringy watery stirfry type vegetables out of my chest,"[2, 4, 5]"
but the emotional constrictor that had wrapped itself around my ribs and stomach seems to have gone and its not a strain to smile,[3]
especially when you dont know the circumstance,"[2, 5]"
the smell of rain the feel of the drops against my skin all were welcome feelings,[3]
but not very close its always been a good bit away,[6]
this said brand canceled their contract with them as well,"[4, 5]"
in keeping it simple and short,[6]
i got the results back on the 11th and my doctor said that she did not find anything wrong with my spine or back bone,[3]
my hand hurt so bad afterwards,[2]
we were all treated and ended up fine,[3]
we went on rehearsing,[3]
which means i keep thinking about filing down or knocking off part of my tooth,[2]
 i brought my hand up to my forehead and gave him a salute,[6]
he always assumed he was hallucinating or just going crazy,"[2, 4]"
the first five minutes i could feel my heart pounding in my chest as our qa went on i got more relaxed,"[2, 3]"
the back half is dark and dense woods overgrown only one trail winding through,[2]
but its a very strange feeling,"[2, 5]"
i stumbled out of bed probably 4 in a morning in a mostasleep daze and went to the bathroom,[2]
the second entry of today  my brain hurt for answering 30 math question in one day,[2]
i instantly felt as light as a feather,[3]
a penny hit me square in the face,"[0, 2, 5]"
and through all this she smiled and was positive and still views it as a perfect day,[3]
we first met hatred was in my eyes i didnt want anything to do with you lies,"[0, 2, 4]"
then a few days later i told her jenny wanted me to come to the basement to play with her,"[2, 5]"
one roommate never showered end of the year garbage bags of trash were taken out from her suite,"[0, 5]"
it was really strange since i braced to hit the wall and ended up falling to the ground,"[2, 5]"
my day cold water pouring down my throat drink with the sun coming up before despair tries to become the daily habit cross my legs brush aside the dream still almost clear,"[2, 4]"
to this day i cant go to the doctor without maniacally spelling  vaccinations  in my head just to make sure i remember how,[2]
i never noticed before  i have viewed this photo a hundred times  that my hand looks like a blaquera,[5]
but my heart pounded in my chest and i couldnt breath couldnt even look at him,[2]
my dad was in the car my mom was signing medical consents and my sister was holding my hand and telling me to breath to keep me calm,"[2, 4]"
i close my eyes determined to find light every ray that shines through is blotted with the darkest of dark i hear a constant drumming,"[2, 4]"
3woke up from a horrible dream of my ex boyfriend with his new girlfriend,"[0, 2, 4]"
a few years ago i worked for an apartment rental agency in a customer service role,[6]
arms back chin down,[2]
but there was peace in my heart,[3]
it is a relief to be able to write about the things that go on in my head as well as the things that go on in my life on a daily basis,[3]
kick my heels up and shout,[3]
it ended quickly amidst lots of petty jealousy,"[0, 4]"
 as much as i urge for the answer no stranger seems to talk about it,"[0, 2, 4, 5]"
i couldnt get my feet undone so i just fell over,[2]
i needed to come out of a parking lot on the side of the highway and then pull the car up to a high speed so as not to have an accidentannoy highway drivers so i was pretty nervously sitting there waiting for the right opportunity,[2]
thankfully he doesnt really hold grudges so i think every day starts with a clean slate of course like a normal human being he has his limit which i am trying really really hard to avoid reachingalso my throat is dry and hurting because i slept with my mouth wide open last night and the two times i napped at the boys house i slept with it open again,[2]
well my birthday is in january,[6]
like practice in the morning until all my eye bags come out and my eyes become smaller,"[2, 4]"
fox arose from his limp slumber and drank cold water from my eyes,[4]
i turn on newburg and because im running behind schedule my foot starts to get heavy and my speed increases,[6]
they dragged him away and he looked very disheartened defeatedtears streaming down his face,"[2, 4]"
that is one thing i love about my company,[3]
my brain still is not figuring it out so i am just standing there waiting for my body to cooperate with me,[2]
by sharlyn guthrie from the sea fate called to me harmless  round my ankles danced,[3]
seriously my head is just not in the game,"[2, 4]"
she was promptly dumped,[4]
that was it nothing moreso at first as i lay in bed i had quite a deadpan look on my face,[4]
the silence cupped my ears where it was all i could see and hear,"[2, 4]"
there were dozens of us crying screaming or in shock,"[2, 4, 5]"
i say covering my ears with my hands and cringing into the door,"[2, 4]"
i mean i know you like her and everything but i beat you to it man,[3]
my legs felt weak,[2]
the new apples of my eye as promised,[3]
my eyebrows raise as i smile  ready for the second shot,[3]
today i got my hands dirty with the boys shoveling dirt tossing rocks and gathering up bits of rotten wood all of which the excavator dug up yesterday and left in a big unsightly pile,[3]
one time a girl grabbed my hand and dragged me out onto the floor,[6]
i did send darren a message via facebook at 414 am as i had to get what was in my head out there,[2]
be still my heart,"[3, 5]"
after having a couple different catheters in my chest for the last two years,"[2, 4]"
i suffered from severe trauma as a child,"[2, 4]"
 but my head still throbs because eventually i had to get up,"[2, 4]"
the sun hung high in the deep blue sky as a slight ocean breeze ticked my face,[3]
she ended up going home after that,[4]
i definitely ended up with a plastic burn on my elbow,[2]
i gasped and my heart began to flutter it was gabriel my exboyfriend,"[2, 5]"
stuck in this place with the world rushing by tears stream down my face as i stand here waiting to die,"[2, 4]"
my heart sinks,"[2, 4]"
ok so here i am trying to just sit down and write some of the really neat things that floated through my head today at work and as soon as i get to a point when i dont have someone staring at me all that beautiful crap flies right out of my ear and goes away i think i left the ac on again,[6]
then again my eyes start to burn just like the other day and the days before,"[2, 4]"
dont walk away im talking to you theres bruises on my face,"[0, 2, 4]"
my ankles were cuffed together and then pulled over my head and secured to the bottom of the fence as well catching my heels in the chain link fence,"[0, 2, 4]"
we had hiked for about an hour through the shallow water and were looking for cool rocks and other things in the river,[3]
i went to the doctor today to get my ears cleanedi got my ears  flushed  because i did have a problem and it was too close to a dangerous area,[2]
anyway so i read the cave thing and went to bed pretty creeped out,"[2, 5]"
sage grabbed my toothbrush this morning and showed me how to brush my teeth,[6]
i stopped and picked up handfuls of it and tried to pack it together into a ball but it fell out of my hands like dust,"[2, 4]"
so mostly i just kept on my feet and did a lot of walking,[6]
he immeditely broke down in tears from it,[4]
so after more than six months  ok a year  of pain in my hip i finally started to try and get a diagnosis,"[2, 4]"
one memorable example was the doubling space pen,"[3, 5]"
my mum says that when she looked in the mirror she saw a pair of glowing yellow eyes,"[2, 5]"
we cuddled on the couch whilst watching tv,[3]
the file it was supposed to play became completely corrupt and i had a very strange nightmare,"[2, 4, 5]"
i stood up still violently too high and walked over to my friend who was still on the ground,"[2, 4]"
i can see you i can see you i can see you,"[2, 5]"
so i just kept nodding my head and smiling,[3]
i didnt even eat a tiny pizza,[4]
the second turned out to be clinically depressed,"[2, 4]"
i sat down and enjoyed one of my best poops ever it was huge it was liquid and it smelled fantastic from my pov,[3]
every september i used to get a wicked case due to fluid in my ears caused by allergies,"[2, 4]"
i tried to understand the thoughts and mixed emotions that were running through my head,[2]
you get the picture,[6]
i began to start running away again but i tripped and fell flat on my back,"[2, 4]"
and my heart bleeds,"[2, 4]"
still freaks me out to remember it,"[2, 5]"
unfortunately my mum decided to clear out his old room and she found them,"[2, 4, 5]"
however my knees were starting to sing a little bit by the end,[4]
i am still getting used to getting my feet in and out of the clips on the spd pedals,[2]
but then it got so hot i opened it and welcomed the cold spray on my face,"[3, 5]"
couldnt find it,"[0, 2, 4]"
i spent the night in my room then went to bed,[6]
my last sentence was i know youre right but still,[4]
a stranger is running alone in the park,[2]
of course i could have soaked my hand in a bucket for a couple of hours but thats not the case here,[6]
i stood there at the front door with the key in my hand and every time i tried to unlock it i started shaking so much that i couldnt get the key in the lock,[2]
the effect was a feeling ive described as running my hand along a cheese grater,"[2, 4]"
slow down so i dont stub my toe when im running down the driveway to pick up my mail,[2]
went to my favorite bar id told everyone i was going to be there during the week before and noone turned up,"[0, 4, 5]"
some insulting some nice,"[0, 3]"
a journey into my world  or at least into my brain ,[5]
somehow with visions of doll masks and pocket 6s dancing my head i still managed to fall asleep,"[2, 5]"
i had been awake,"[2, 5]"
we need to go to our house to get it,[6]
theres nothing but dead air,"[2, 4]"
we got stuck on pandemonium lol it was so funnyi hurt my foot somehow lol figures now that i have no insuarance and im waiting to hear back from mass health,"[0, 2, 3, 4]"
my left molar came loose and looking at it there was a mushroomlike thing  like a mario mushroom with a red cap  and black mold coming from the root as it came out of my mouth,"[2, 4, 5]"
never found anything kind of spooky,"[2, 5]"
anyhow there was this other kid there,[5]
at one point i got pissed at bryce for holding my hands back while my cell phone rang,[0]
my hands are usually cool and i defend them spouting  cold hands warm heart ,[3]
my last relationship ended pretty mutuallyand i really tried to maintain the friendship,"[3, 4]"
i lost the towel,[2]
they wanted to open the femoral artery in my right leg and insert a long tube up towards my heart,[2]
thats when tears streak down my cheeks,"[2, 4]"
as my eyes adjusted i found a dark pair of goggles looking back at me,[5]
i couldnt believe my eyes,[5]
i barely slept that night and didnt tell anyone about it till now,"[2, 4]"
it was drug related,"[2, 4]"
my head smashed into the roof of it hard enough to drive every thought from my head,"[0, 2]"
it felt good in my hands it felt right,[3]
he stops scribbling down my number all quick takes my handomg it was like i stuck my hand in a socket electric,"[2, 3, 5]"
the afterimage lit up green and orange against my eyelids,[5]
im keeping my fingers and toes crossed for both of them,"[2, 3]"
i had to listen closely to close my eyes to feel it filling my head,[2]
middle school the entire 8th grade class had to do this thing called a cultural fair where we research our lineagecultural roots and present it after school at night for all families to see,"[2, 3]"
 yeah im good now my back has stopped bleeding ,[2]
 i thought that i was biting into something hard in my taco but it was my tooth,"[2, 5]"
this leads to the neeed to suffle around and makes my legs fall asleep after not too long which obviously isnt advisable,[2]
fast forward six months  ive moved to central virginia for work,[3]
i pushed her away looked at the other pups played and did all the little  tests  but every time someone turned loose of that the little female pup she simplly walked over and crawled in my lap licked my hand,[3]
but within seconds i regained myself and pulled off the rings on my fingers and went after the manic destroying all perceptions of herself,[0]
but well need large plastic bags i dont know where to get those,[2]
with this holy oath i set my foot upon the path the druids way and i vow to make my dedication plain,[3]
i looked everywhere for those 5 cards 2 ended up between the couch cushions one underneath a cat tent one behind the tv and one in a different room completely in between the bed cushions,[5]
the funniest thing ive seen in ages last chance to see on tvo and ended up with tears streaming down my cheeks because i was laughing so hard,[3]
warning may contain baseball,[5]
mildly inconvenient but so weird,"[2, 3, 5]"
the sky was only slightly disturbed light gray choppy clouds but it didnt look too bad,[2]
i was still worrying about the whole messed up situation when i felt an arm drape across my shoulders,"[2, 3]"
i played around in the water haha just my feet in the water though it was too cold,[3]
hes telling a little kid a joke,[3]
i first had weakness in my left hand and gradually lost the use of my hands arms and legs,"[2, 4]"
today i ventured to swim class where reese spent the entire 10  to maybe 12  minutes we were in the pool softly crying almost whimpering and licking my shoulder,"[2, 4]"
are you sure sis,"[2, 5]"
one time she showed up to my door wearing a long coat and nothing but stockings and heels underneath,"[2, 5]"
the blame too easy to place on my shoulders,"[0, 4]"
hopeful six months ago i stood in a strange new place my strange new home in front of a fountain with a shiny penny in my hand,[3]
i managed to shoehorn myself into the seat but my knees were jammed under the dash i could barely use the pedals i couldnt get any proper lock on the steering wheel my head was poking out of the rollcage and i had no idea of what the rev limits or gears were,[2]
when i was little i distinctly remember being able to see with my eyes closed,"[2, 3, 5]"
he kept talking but i couldnt hear anything but my heart exploding inside my chest the grand finale,[2]
it felt like someone was squeezing my heart,"[2, 4]"
there i was just inches away from him and for some reason i felt the beating of my heart jump out from within me,"[2, 5]"
youre not mad are you,[2]
so the money is taken from the employees,[0]
it took a while my elbows were stiff like no matter wich way i layed down my arms were killing me i was sharing a bed with jamie,"[2, 4]"
she said that i shouldnt do anything with my finger not even type,[2]
heres the problem i itch so bad i want to rip off my skin,[2]
key then hit me on the side of my head,"[0, 2, 5]"
the room really isnt a room it is as though she is kneeling on the floor but i dont see any walls,"[2, 5]"
the line went dead,"[2, 4, 5]"
i was quite sad,[4]
months before that i just prayed to god that i wanted to meet someone right for me my heart felt depressed on how no one seems to fit the  perfect girl for me ,[4]
always asking for sex,"[0, 2]"
i nodded pulling my arms across my chest hoping that the rain obscured the tears that ran from my eyes,"[2, 4]"
however deep inside my heart i really want to go back to my hometown,[4]
my heart is too full for words,[3]
ive backed off hills while my foot healed so i expected some soreness,[2]
i also dealt drugs cocaine methamphetamine mushrooms and marijuana,"[2, 5]"
i never said anything because it wasnt scary just weird,"[2, 5]"
my jaw dropped as i squealed with delight,"[3, 5]"
so it goes on like this for awhile,[6]
she finally decided to go to the doctor,"[2, 3]"
there was a known violent mentallyill person named chop in a neighborhood i worked in,"[2, 5]"
i have an amazing icalledthat sports story that defies explanation,"[3, 5]"
not too long after my family left a guy came in to hook me up to yet another machine briefly to check my breathing which proved to be labored but not dangerously slow  a nurse came in later a gave me a little toy thing to exercise my lungs which helped a bit  and another couple guys came in to take an xray of my lungs,[2]
this is where the story gets creepy,"[2, 5]"
i can see it in my head,[6]
navy air traffic controller,[6]
my face was just not meant to smile,"[0, 4]"
i felt like i had been paddling for all i was worth for the last year and could not seem to get my head above water,"[2, 4]"
you read that right,[5]
unluckily i missed two days of work last week the day the nurse told me to go home and thursday because my throat was so sore waking up that i couldnt talk,"[2, 4]"
i had to blow my nose between bites to really catch the flavor,[6]
but thank you for your offer a sudden tugging at his side made him spin having to fight the instinct to let his hand fly out,"[0, 2, 5]"
laying my head against his chest glens heart beat is strong against my ear and my mind wonders back to our life outside of this heaven,[3]
one xray showed my foot from above and the other showed it from the side,[6]
i think i watched the last 20 laps holding my breath and the last ten with my hands over my eyes,[2]
this drew a lot of startled stares and gasps as i calmly threw the shirt down on the floor at my feet and reached into the overnight bag and pulled out a small pair of tweezers,[5]
all the changes get thrown out of the window as i attempt to keep my head above water during this 4day work week before the july 4th weekend,[2]
my pride hurt worse than my leg did,"[0, 4]"
but this is august,[5]
coupled with the sound of rotors deafeningly stunning my ears and the very air in and around the cab of my car,"[2, 5]"
this suckssorry dude,"[0, 4]"
bestworst physics class of my life,"[2, 3, 4, 5]"
to this day the memory still brings chills,"[2, 4, 5]"
never trust a fart,"[2, 3]"
of course he realizes what she actually said after the fact,"[3, 5]"
as im sitting in my car calling my mom my heart started pounding,[2]
my jaw nearly dropped,[5]
i had to relax my muscles and clear my mind in order to do that,[2]
one is explainable the other still stumps me,"[2, 5]"
one drink down and she was blackout drunk,"[2, 4, 5]"
its pretty crazy thinking of the random chance of us never meeting,"[3, 5]"
nothing was touching it,"[2, 5]"
this was the most randomterrifying thing that has ever happened to me,"[2, 5]"
i have a cold that has decided to settle in my throat,[2]
actually i remember a couple of little snippets  at some point my chest hurting really bad and my throat was sore,"[2, 4]"
now when i have too much to do my brain just gets distracted by all the other jobs jostling for attention,[2]
the monstrosity is gone,[3]
i suppose i could put a piece of my heart in there too since our children are exactly that arent they,[6]
comes home later that night to find the money gone,"[0, 2, 4, 5]"
i struggle to make out the images my eyes begin to pick up,[2]
all things considered a very saddening scary sobering scary day,"[2, 4]"
my eyes were glassed over,"[2, 4]"
 once this item leaves my hands i am not responsible for the package,[6]
everything is incredibly far away and earth is so very small,"[2, 4, 5]"
i open the door and step through while turning to close it behind me,[6]
what didnt feel great was my throat and lungs,"[2, 4]"
i try to slow down things,[2]
rage violence threats until i leave the house then she bounces back goes dancing and has sex with a stranger and tells me about it,"[0, 2, 4, 5]"
today was a biga straw that broke my back,"[0, 2, 4]"
my eye liner was smudged my cheeks redder than normal,[6]
i stop and wait,[2]
the whole time i couldnt see because my toes were blocking my view,[6]
i mentally refused to go there shaking my head violently in that refusal,"[0, 2]"
you shouldve just slit open my veins and let the romance bleed away when you had the chance,"[0, 4]"
someone is in danger,"[2, 4, 5]"
that is how you singlehandedly stop a zombie apocalypse,"[3, 5]"
this guy started out ok but quickly became a fucking heroin addict,"[0, 2, 4, 5]"
just the thought is bring tears to my eyes again,[4]
in the late afternoon i am lying in the sun my music plugged firmly into my ears dancing,[3]
so i got up so i could pee sat down and proceeded to throw up all over my legs and underwear,"[2, 4]"
my face hurt from laughing so much,[3]
he didonly he didnt well he did what i asked him to do but w  out realizing it he didnt spray the back of my arms and well nor did i crap,[0]
more news as soon as i can get my head around it,[2]
ive never met any of the other members but we all send each other xmas cards amp random stuff,"[3, 5]"
i also noticed that last year my back was killing me and i was popping ibuprofen all night,"[2, 4]"
also excuse my writing its late,[6]
the part my grandfather said was broken and would lead to his doom was broken,"[2, 4, 5]"
then while it was still on my heart i opened it into a v with my index and middle finger,[3]
over the years i have taken pictures of what caught my eye,[3]
eventually the cramps went away but left my feet feeling sore and uncomfortable,"[2, 4]"
one particular experience i had at a place called hernandos bridge however still scares me to this day,"[2, 5]"
police got called guy gets taken away,"[2, 5]"
during my first season i was playing a game on my birthday,[3]
i closed my eyes as i took in a deep breath,[3]
this is my fucking breaking point,"[0, 2]"
there was the shock of all my teeth on the bottom being pushed so out of whack i needed oral surgery and oh year my jaw was broken,"[0, 2, 4, 5]"
red nails for my foot and pink base plus white coat on the tipi hope the polish stay as long as possible but my nails are one kind,[3]
for puttin my heart into it n come out cryin n sad,[4]
back to earth as i opened my eye i was lying back on a hospital bed with my right leg elevated cupped in the hands of the young indian doctor who had been trying to save my life,"[2, 4]"
i closed my eyes and tried my best to ignore it and i eventually ended up falling asleep,[2]
i closed my eyes and more tears glided down my cheeks,[4]
i close my eyes,[2]
the whole time relentless joy as though a smile was consistently on my face and even when it wasnt it still lay beneath the surface a laugh always ready to come out,[3]
we pressed play and some rap song came on,"[3, 5]"
i clearly indicated i certainly did not,[0]
i noticed his eyes looked weirdscary,"[2, 5]"
i never felt very spiritual,[4]
in my head i just said this is going to end badly,"[2, 4]"
but for a brief moment my heart and mind started racing,[2]
my face is cold and my hands are guilty,"[2, 4]"
he never took out the garbage,"[0, 4]"
i crouched and put my arm on my knee acting like a pro like i was amazing,[3]
the room smells like a rotting corpse so its nasty,"[0, 2, 4]"
but man my stomach is in so much pain its hurts to poo,"[2, 4]"
i sit and wait alone as the angel and the demon behind my eyes fight on fighting forever to decide my fate,"[2, 4]"
before i knew it i was on my hands and knees and someone close to me let out a terrible grunt at the same time,[2]
i tried to do some heavy ohs with my back saying  no  to that,[2]
a friend of mine is a policeman,[3]
she is awesome and totally not bridezillay at all,"[3, 5]"
i stopped laughing clearing my throat and looking down again,[6]
and then i accidently dropped the tag because my hand was shaking so much,[2]
i was just crying so hard that the tears dripped off my chin and into the sink ,"[2, 4]"
i hung my head in shame feeling like the lowest of mothers,"[2, 4]"
i remember pirate percy,"[3, 4]"
this other guy seemed obsessed with this floor and talked about going up there and finding this ghost,"[2, 5]"
well sebastian was getting off the highway to complete this years journey,[5]
had to scream my lungs out while the guy just let the crowd pass my bag to me a bag which got passed all the way to the other side before i finally managed to get my hands on to the neon orange carrier which had my phone camera hard drive wallet and keysin the end had to change without bathing in a smelly toilet at temasek poly before bidding boon goodbye on the phone whilst complaining about the event,"[0, 2]"
all those feelings which he had buried deep in his heart had now after hundreds of years risen up,[4]
with a few hours of daylight i immediately hopped on my back after unpacking the car,[3]
she ate most of the sandwich then threw it back at my head,"[0, 2]"
i couldnt make out any clear distinct facial features but i could see two darker circles where eyes would be and a small oblong shape for a mouth,"[2, 5]"
scared me shitless each time it happened,"[2, 5]"
it started storming outside light at first but it got heavy quick,"[2, 5]"
her mother is bouncing up and down with excitement,[3]
it could have been my eye  but my glasses probably blocked that from happening and diverted the injury higher up on my head,"[2, 5]"
i know it is true for my own glasses have been gone for over 16 years and i know what to do and what not to do in order to have my eyesight relax my vision stay sharp and my eyes happy,[3]
this is why i get up every day lace up my chucks and keep a smile on my face through all sorts of patron issues,[3]
to this day were still not too sure of where it came from,"[2, 5]"
i then pushed myself up using my arms,[6]
thats pretty creepy,"[2, 5]"
i had twisted my ankle too and i cried out in pain,"[2, 4, 5]"
suddenly i see it crouching on the floor its bagged head hung low beneath its shoulders,"[2, 5]"
my exboyfriend was just a horrible liar,"[0, 4]"
i covered my face with my hands,"[2, 4]"
mmm my mouth is watering just thinking about it,[3]
i close my mouth in a fine line remembering one line after another,"[2, 4]"
it made me feel weird like my stomach was tightening and i could feel that stupid blush again on the back of my neck and yet i couldnt look awayi dont know how long i stood there staring into his eyes like that,"[2, 5]"
my mind was uncooperative when a pen finally found my hand,"[0, 2]"
a flame struck out at my thumb and body and i was taken back by great surprise,"[2, 5]"
i put em in a bowl anyway brushed my teeth chugged a smoothy and went to work,[6]
 i breathed in and got cake stuck up my nose plus i couldnt see with the frosting smudging my glasses,[5]
an obe is an out of body experience,[5]
my friend said to get to work on my tooth since i was sitting there ready to go,[6]
my head whipped around and there it was,"[2, 5]"
she was unhappily employed stripping at the time,"[0, 2, 4]"
it was a weird feeling building up in my chest and my head and then it all switched and i couldnt turn it backseriously try itfirst of all i started off rightbrained,"[2, 5]"
my limbs wouldnt move properly then nothingness,"[2, 4]"
i dont need this job and you know it,[0]
the most solid relationship in my whole life started with zelda and mario,"[3, 5]"
so far in this class my eyes have been opened to the power of writing and the enjoyment it can bring to me,[3]
i sit up my head hurts,"[2, 4]"
my throat goes dry and my cough sounds not even human at some points,[2]
but my stomach oh my stomach this bike has been from taiwan to vietnam cambodia and thailand and several places in vietnam not to mention all but the southern tip of taiwan heading north,[2]
i heard footsteps going down to the basement,"[2, 5]"
after repainting my face i realised that i was running about 510 minutes behind my schedule to be at my gig on time but nothing that a little  safe speeding  couldnt get me back infront,[2]
there was that one night while sleeping in that nice riad when i felt a tickle at the back of my neck,"[2, 5]"
in the eastern states right up to my neck of the woods in canada,[6]
i went walking the other day and froze my lungs out,[2]
yeah it was a little embarrassing,"[2, 4]"
they were fooling around on the fields and looking for something to aim at and shoot,"[2, 3]"
wanted to quickly go home and hide my face,"[2, 4]"
this will probably get buried but here goes,"[2, 5]"
my heart is heavy for the haitian government,[4]
i tried to be a fly on the wall for them,[2]
either way awesome night,[3]
its the closest thing ive experienced that i can say was nearly unexplainable,"[2, 5]"
there are just 2 small parts that stick out in my head and make me so happy,[3]
one day we lost all contact,"[2, 4]"
this hasnt changed since i was very young,"[4, 5]"
finally facing life responsibilities again but my head still was on vacation,[2]
freaked all 3 of us out,"[2, 5]"
i got a labrador puppy for my 4th birthday greatest present ever,"[3, 5]"
both only suffered minor injury and both were quite intoxicated,"[2, 4]"
when my back hit the far wall and the shovel against the wall fell on the dirt i screamed,"[2, 4, 5]"
i am so afraid of sleeping on my back that i dont sleep well during the night,[2]
what happened to my heart when it broke into pieces,[4]
then it began to snow hard,"[2, 5]"
my stomach is all out of whack,[2]
i spent most of the day asleep in bed and my throat hurts so much it nearly killed me,"[2, 4]"
  x 26 nbsp walking back in the sun was not fun for my feet,[2]
i had an ant crawling on my elbow just now and i flicked him off,[2]
idk why my eyes just got really watery and i felt really scared and felt so lost all of a sudden ,"[2, 4, 5]"
so i got my hand on the healthy wear powder foundation in creamy beige for  345,[3]
it frames my face and makes me look rather clownish,[4]
i have to be a complete part of his life and his heart,[6]
blah i want my head to stop hurting and my eyes to start tearing up but i do nt see any of these things happening soon,"[2, 4]"
i guess my eyebrows were missing each other and needed to grow closer and so they were really trying to get super close,[3]
by the time we left bloomingdales i could have collapsed but i genuinely think i was numb from the horrific pain in my feet,"[2, 4]"
